candidate_id,problem,language,submission_id,source_file,issue_id,severity,line,column,message,risk,code_before,code_at_line,code_after,approved_for_removal,review_notes
unused_000023,cutiile-magice,cpp,1342825484,cutiile-magice/1342825484.cpp,unusedFunction,style,32,4,The function 'mypow' is never used.,high,for(;b;b>>=1){if(b&1)res=res*a%mod1;a=a*a%mod1;}return res;},"ll mypow(ll a,ll b) {ll res=1;if(b<0)b=0;assert(b>=0);",for(;b;b>>=1){if(b&1)res=res*a;a=a*a;}return res;},FALSE,
unused_000024,gigel-si-raspandirea-vestilor,cpp,1314234604,gigel-si-raspandirea-vestilor/1314234604.cpp,unusedFunction,style,92,10,The function 'print_output' is never used.,high,,void print_output(vector<int> result),{,FALSE,
unused_000025,gigel-si-raspandirea-vestilor,cpp,1314234604,gigel-si-raspandirea-vestilor/1314234604.cpp,unusedPrivateFunction,style,92,10,Unused private function: 'Task::print_output',high,,void print_output(vector<int> result),{,FALSE,
unused_000026,gigel-si-raspandirea-vestilor,cpp,1314234800,gigel-si-raspandirea-vestilor/1314234800.cpp,unusedFunction,style,28,14,The function 'dfs' is never used.,high,,"void dfs(int start, vector<bool> &visited, vector<int> &stack, int d, vector<int> &depth)",{,FALSE,
unused_000027,gigel-si-raspandirea-vestilor,cpp,1314234919,gigel-si-raspandirea-vestilor/1314234919.cpp,redundantAssignment,style,52,24,Variable 'visited[1]' is reassigned a value before the old one has been used.,medium,timp[1] = 0;,visited[1] = true;,coada.push(1);,FALSE,
unused_000028,gigel-si-raspandirea-vestilor,cpp,1314235050,gigel-si-raspandirea-vestilor/1314235050.cpp,unreadVariable,style,12,17,Variable 'counter' is assigned a value that is never used.,medium,int relationships = 0;,int counter = 1;,"int parent, child;",FALSE,
unused_000029,gigel-si-raspandirea-vestilor,cpp,1314235063,gigel-si-raspandirea-vestilor/1314235063.cpp,unreadVariable,style,16,19,Variable 'res' is assigned a value that is never used.,medium,int main() {,"int n, m, res = 0;",,FALSE,
unused_000030,gigel-si-raspandirea-vestilor,cpp,1314235204,gigel-si-raspandirea-vestilor/1314235204.cpp,unreadVariable,style,27,15,Variable 'count' is assigned a value that is never used.,medium,},int count = 1;,int ordin = 0;,FALSE,
unused_000031,gigel-si-raspandirea-vestilor,cpp,1314235204,gigel-si-raspandirea-vestilor/1314235204.cpp,unreadVariable,style,28,15,Variable 'ordin' is assigned a value that is never used.,medium,int count = 1;,int ordin = 0;,ordine[1] = 0;,FALSE,
unused_000032,gigel-si-raspandirea-vestilor,cpp,1314235286,gigel-si-raspandirea-vestilor/1314235286.cpp,unusedStructMember,style,10,9,struct member 'edge::x' is never used.,high,struct edge {,"int x,y;",};,FALSE,
unused_000033,gigel-si-raspandirea-vestilor,cpp,1314235286,gigel-si-raspandirea-vestilor/1314235286.cpp,unusedStructMember,style,10,11,struct member 'edge::y' is never used.,high,struct edge {,"int x,y;",};,FALSE,
unused_000034,gigel-si-raspandirea-vestilor,cpp,1314235286,gigel-si-raspandirea-vestilor/1314235286.cpp,unreadVariable,style,29,15,Variable 'ldid' is assigned a value that is never used.,medium,queue<int> lq;,bool ldid = false;,"vector<bool> viz(n + 1, false);",FALSE,
unused_000035,gigel-si-raspandirea-vestilor,cpp,1314235349,gigel-si-raspandirea-vestilor/1314235349.cpp,unreadVariable,style,30,15,Variable 'count' is assigned a value that is never used.,medium,},int count = 1;,int ordin = 0;,FALSE,
unused_000036,gigel-si-raspandirea-vestilor,cpp,1314235349,gigel-si-raspandirea-vestilor/1314235349.cpp,unreadVariable,style,31,15,Variable 'ordin' is assigned a value that is never used.,medium,int count = 1;,int ordin = 0;,ordine[1] = 0;,FALSE,
unused_000037,gigel-si-raspandirea-vestilor,cpp,1314235408,gigel-si-raspandirea-vestilor/1314235408.cpp,unreadVariable,style,31,15,Variable 'count' is assigned a value that is never used.,medium,},int count = 1;,int ordin = 0;,FALSE,
unused_000038,gigel-si-raspandirea-vestilor,cpp,1314235408,gigel-si-raspandirea-vestilor/1314235408.cpp,unreadVariable,style,32,15,Variable 'ordin' is assigned a value that is never used.,medium,int count = 1;,int ordin = 0;,ordine[1] = 0;,FALSE,
unused_000039,gigel-si-raspandirea-vestilor,cpp,1314235604,gigel-si-raspandirea-vestilor/1314235604.cpp,unusedFunction,style,8,5,The function 'dfs' is never used.,high,,"int dfs(std::vector<std::list<int>> *connections, int n) {","int *val = (int *) calloc(n, sizeof(int));",FALSE,
unused_000040,gigel-si-raspandirea-vestilor,c,1314235671,gigel-si-raspandirea-vestilor/1314235671.c,unreadVariable,style,67,16,Variable 'ok' is assigned a value that is never used.,medium,{,int ok = 0;,,FALSE,
unused_000041,gigel-si-raspandirea-vestilor,c,1314235671,gigel-si-raspandirea-vestilor/1314235671.c,unreadVariable,style,73,20,Variable 'ok' is assigned a value that is never used.,medium,{,ok = 1;,size ++;,FALSE,
unused_000042,gigel-si-raspandirea-vestilor,c,1314235726,gigel-si-raspandirea-vestilor/1314235726.c,unreadVariable,style,69,16,Variable 'ok' is assigned a value that is never used.,medium,{,int ok = 0;,,FALSE,
unused_000043,gigel-si-raspandirea-vestilor,c,1314235726,gigel-si-raspandirea-vestilor/1314235726.c,unusedFunction,style,9,6,The function 'allVisited' is never used.,high,,"bool allVisited(bool *visited, int N)",{,FALSE,
unused_000044,gigel-si-raspandirea-vestilor,cpp,1314235783,gigel-si-raspandirea-vestilor/1314235783.cpp,unreadVariable,style,36,23,Variable 'parent[i]' is assigned a value that is never used.,medium,visited[i] = 0;,parent[i] = -1;,},FALSE,
unused_000045,gigel-si-raspandirea-vestilor,cpp,1314235783,gigel-si-raspandirea-vestilor/1314235783.cpp,unreadVariable,style,42,17,Variable 'tos' is assigned a value that is never used.,medium,,int tos = 0;,int level = 0;,FALSE,
unused_000046,gigel-si-raspandirea-vestilor,cpp,1314235783,gigel-si-raspandirea-vestilor/1314235783.cpp,unreadVariable,style,45,25,Variable 'next_level' is assigned a value that is never used.,medium,int smt_level = 999;,bool next_level = false;,,FALSE,
unused_000047,gigel-si-raspandirea-vestilor,cpp,1314235832,gigel-si-raspandirea-vestilor/1314235832.cpp,unreadVariable,style,34,15,Variable 'count' is assigned a value that is never used.,medium,},int count = 1;,int ordin = 0;,FALSE,
unused_000048,gigel-si-raspandirea-vestilor,cpp,1314235832,gigel-si-raspandirea-vestilor/1314235832.cpp,unreadVariable,style,35,15,Variable 'ordin' is assigned a value that is never used.,medium,int count = 1;,int ordin = 0;,ordine[1][0] = 1;,FALSE,
unused_000049,gigel-si-raspandirea-vestilor,cpp,1314235857,gigel-si-raspandirea-vestilor/1314235857.cpp,unreadVariable,style,34,15,Variable 'count' is assigned a value that is never used.,medium,},int count = 1;,int ordin = 0;,FALSE,
unused_000050,gigel-si-raspandirea-vestilor,cpp,1314235857,gigel-si-raspandirea-vestilor/1314235857.cpp,unreadVariable,style,35,15,Variable 'ordin' is assigned a value that is never used.,medium,int count = 1;,int ordin = 0;,ordine[1][0] = 1;,FALSE,
unused_000051,gigel-si-raspandirea-vestilor,cpp,1314235860,gigel-si-raspandirea-vestilor/1314235860.cpp,unreadVariable,style,35,23,Variable 'parent[i]' is assigned a value that is never used.,medium,visited[i] = 0;,parent[i] = -1;,},FALSE,
unused_000052,gigel-si-raspandirea-vestilor,cpp,1314235860,gigel-si-raspandirea-vestilor/1314235860.cpp,unreadVariable,style,41,17,Variable 'tos' is assigned a value that is never used.,medium,,int tos = 0;,int level = 0;,FALSE,
unused_000053,gigel-si-raspandirea-vestilor,cpp,1314235860,gigel-si-raspandirea-vestilor/1314235860.cpp,unreadVariable,style,44,25,Variable 'next_level' is assigned a value that is never used.,medium,int smt_level = 999;,bool next_level = false;,,FALSE,
unused_000054,gigel-si-raspandirea-vestilor,cpp,1314235898,gigel-si-raspandirea-vestilor/1314235898.cpp,unreadVariable,style,30,24,Variable 'dim_nivel' is assigned a value that is never used.,medium,queue<int> coada;,"int nod, dim_nivel = 0;",coada.push(1);,FALSE,
unused_000055,gigel-si-raspandirea-vestilor,cpp,1314235965,gigel-si-raspandirea-vestilor/1314235965.cpp,unreadVariable,style,35,23,Variable 'parent[i]' is assigned a value that is never used.,medium,visited[i] = 0;,parent[i] = -1;,},FALSE,
unused_000056,gigel-si-raspandirea-vestilor,cpp,1314235965,gigel-si-raspandirea-vestilor/1314235965.cpp,unreadVariable,style,41,17,Variable 'tos' is assigned a value that is never used.,medium,,int tos = 0;,int level = 0;,FALSE,
unused_000057,gigel-si-raspandirea-vestilor,cpp,1314235965,gigel-si-raspandirea-vestilor/1314235965.cpp,unreadVariable,style,44,25,Variable 'next_level' is assigned a value that is never used.,medium,int smt_level = 999;,bool next_level = false;,,FALSE,
unused_000058,gigel-si-raspandirea-vestilor,cpp,1314235979,gigel-si-raspandirea-vestilor/1314235979.cpp,unusedVariable,style,42,16,Unused variable: node,medium,,"int front, node;",,FALSE,
unused_000059,gigel-si-raspandirea-vestilor,cpp,1314236543,gigel-si-raspandirea-vestilor/1314236543.cpp,unreadVariable,style,45,45,Variable 'count' is assigned a value that is never used.,medium,dist[source] = 0;,"Q.push(make_pair(source, 0)); int count = 0;",while(!Q.empty()){,FALSE,
unused_000060,gigel-si-raspandirea-vestilor,cpp,1314236543,gigel-si-raspandirea-vestilor/1314236543.cpp,unusedVariable,style,72,19,Unused variable: w,medium,for(int j = 1; j <= M; j++){,"int x, y, w;",cin>>x>>y;,FALSE,
unused_000061,gigel-si-raspandirea-vestilor,cpp,1314236627,gigel-si-raspandirea-vestilor/1314236627.cpp,unusedVariable,style,15,12,Unused variable: j,medium,,"int i, j, x, y;",for(i = 0; i <= n; i++),FALSE,
unused_000062,gigel-si-raspandirea-vestilor,cpp,1314236833,gigel-si-raspandirea-vestilor/1314236833.cpp,unreadVariable,style,20,21,Variable 'tos' is assigned a value that is never used.,medium,,int tos = 0;,int level = 0;,FALSE,
unused_000063,gigel-si-raspandirea-vestilor,c,1314237278,gigel-si-raspandirea-vestilor/1314237278.c,unreadVariable,style,69,11,Variable 'Count' is assigned a value that is never used.,medium,int Count = N;,Count --;,,FALSE,
unused_000064,gigel-si-raspandirea-vestilor,c,1314237378,gigel-si-raspandirea-vestilor/1314237378.c,unreadVariable,style,28,20,Variable 'sefuClasei' is assigned a value that is never used.,medium,"int N = 0, M = 0;",int sefuClasei = 1;,,FALSE,
unused_000065,gigel-si-raspandirea-vestilor,c,1314237378,gigel-si-raspandirea-vestilor/1314237378.c,unreadVariable,style,70,16,Variable 'ok' is assigned a value that is never used.,medium,,int ok = 0;,,FALSE,
unused_000066,gigel-si-raspandirea-vestilor,c,1314237378,gigel-si-raspandirea-vestilor/1314237378.c,unusedFunction,style,9,6,The function 'allVisited' is never used.,high,,"bool allVisited(bool *visited, int N)",{,FALSE,
unused_000067,gigel-si-raspandirea-vestilor,cpp,1314237425,gigel-si-raspandirea-vestilor/1314237425.cpp,unreadVariable,style,14,21,Variable 'allVisited' is assigned a value that is never used.,medium,"int parent, child;",bool allVisited = false;,,FALSE,
unused_000068,gigel-si-raspandirea-vestilor,c,1314237563,gigel-si-raspandirea-vestilor/1314237563.c,unreadVariable,style,27,20,Variable 'sefuClasei' is assigned a value that is never used.,medium,"int N = 0, M = 0;",int sefuClasei = 1;,,FALSE,
unused_000069,gigel-si-raspandirea-vestilor,c,1314237563,gigel-si-raspandirea-vestilor/1314237563.c,unreadVariable,style,62,18,Variable 'maxLevel' is assigned a value that is never used.,medium,,int maxLevel = 0;,,FALSE,
unused_000070,gigel-si-raspandirea-vestilor,c,1314237563,gigel-si-raspandirea-vestilor/1314237563.c,unreadVariable,style,69,16,Variable 'ok' is assigned a value that is never used.,medium,,int ok = 0;,,FALSE,
unused_000071,gigel-si-raspandirea-vestilor,cpp,1314237573,gigel-si-raspandirea-vestilor/1314237573.cpp,unusedVariable,style,44,9,Unused variable: i,medium,vector<int> check(n+1);,"int i, t = 0, ok;",,FALSE,
unused_000072,gigel-si-raspandirea-vestilor,c,1314237613,gigel-si-raspandirea-vestilor/1314237613.c,unreadVariable,style,27,20,Variable 'sefuClasei' is assigned a value that is never used.,medium,"int N = 0, M = 0;",int sefuClasei = 1;,,FALSE,
unused_000073,gigel-si-raspandirea-vestilor,c,1314237613,gigel-si-raspandirea-vestilor/1314237613.c,unreadVariable,style,62,18,Variable 'maxLevel' is assigned a value that is never used.,medium,,int maxLevel = 0;,,FALSE,
unused_000074,gigel-si-raspandirea-vestilor,c,1314237613,gigel-si-raspandirea-vestilor/1314237613.c,unreadVariable,style,69,16,Variable 'ok' is assigned a value that is never used.,medium,,int ok = 0;,,FALSE,
unused_000075,gigel-si-raspandirea-vestilor,cpp,1314237749,gigel-si-raspandirea-vestilor/1314237749.cpp,unreadVariable,style,14,21,Variable 'allVisited' is assigned a value that is never used.,medium,"int parent, child;",bool allVisited = false;,,FALSE,
unused_000076,gigel-si-raspandirea-vestilor,cpp,1314237763,gigel-si-raspandirea-vestilor/1314237763.cpp,redundantAssignment,style,39,21,Variable 'lastVisited' is reassigned a value before the old one has been used.,medium,},lastVisited = s;,time_s++;,FALSE,
unused_000077,gigel-si-raspandirea-vestilor,cpp,1314237793,gigel-si-raspandirea-vestilor/1314237793.cpp,redundantAssignment,style,39,21,Variable 'lastVisited' is reassigned a value before the old one has been used.,medium,},lastVisited = s;,time_s++;,FALSE,
unused_000078,gigel-si-raspandirea-vestilor,cpp,1323417365,gigel-si-raspandirea-vestilor/1323417365.cpp,unusedStructMember,style,17,16,class member 'Task::stiva' is never used.,high,vector<int> adj[kNmax];,stack<int> stiva;,int nivele = 0;,FALSE,
unused_000079,gigel-si-raspandirea-vestilor,cpp,1323417873,gigel-si-raspandirea-vestilor/1323417873.cpp,unreadVariable,style,45,15,Variable 'x' is assigned a value that is never used.,medium,if (x == kMax) {,x = -1;,},FALSE,
unused_000080,gigel-si-raspandirea-vestilor,cpp,1323418038,gigel-si-raspandirea-vestilor/1323418038.cpp,unreadVariable,style,45,15,Variable 'x' is assigned a value that is never used.,medium,if (x == kMax) {,x = -1;,},FALSE,
unused_000081,gigel-si-raspandirea-vestilor,cpp,1323418517,gigel-si-raspandirea-vestilor/1323418517.cpp,unusedStructMember,style,19,9,class member 'Task::source' is never used.,high,int m;,int source;,vector<int> adj[100005];,FALSE,
unused_000082,gigel-si-raspandirea-vestilor,cpp,1323437200,gigel-si-raspandirea-vestilor/1323437200.cpp,unreadVariable,style,13,14,Variable 'aux' is assigned a value that is never used.,medium,queue<int> q_old;,bool aux = 0;,int time = 0;,FALSE,
unused_000083,gigel-si-raspandirea-vestilor,cpp,1323442922,gigel-si-raspandirea-vestilor/1323442922.cpp,unusedVariable,style,7,18,Unused variable: aux1,medium,{,"int n, m, i, aux1, aux2;",cin >> n >> m;,FALSE,
unused_000084,gigel-si-raspandirea-vestilor,cpp,1323442922,gigel-si-raspandirea-vestilor/1323442922.cpp,unusedVariable,style,7,24,Unused variable: aux2,medium,{,"int n, m, i, aux1, aux2;",cin >> n >> m;,FALSE,
unused_000085,gigel-si-raspandirea-vestilor,cpp,1323448181,gigel-si-raspandirea-vestilor/1323448181.cpp,unusedStructMember,style,21,9,class member 'Task::source' is never used.,high,int m;,int source;,vector<int> adj[kNmax];,FALSE,
unused_000086,gigel-si-raspandirea-vestilor,cpp,1323453426,gigel-si-raspandirea-vestilor/1323453426.cpp,unusedStructMember,style,20,6,class member 'Task::source' is never used.,high,int m;,int source;,vector<int> adj[kNmax];,FALSE,
unused_000087,gigel-si-raspandirea-vestilor,cpp,1323455308,gigel-si-raspandirea-vestilor/1323455308.cpp,unreadVariable,style,32,14,Variable 'vis' is assigned a value that is never used.,medium,q.push(src);,bool vis = false;,while (!q.empty()) {,FALSE,
unused_000088,gigel-si-raspandirea-vestilor,cpp,1323455786,gigel-si-raspandirea-vestilor/1323455786.cpp,unreadVariable,style,33,14,Variable 'vis' is assigned a value that is never used.,medium,int timer = 0;,bool vis = false;,"int add = 0, sub = 0;",FALSE,
unused_000089,gigel-si-raspandirea-vestilor,cpp,1323455786,gigel-si-raspandirea-vestilor/1323455786.cpp,unreadVariable,style,52,20,Variable 'vis' is assigned a value that is never used.,medium,q.push(neigh);,vis = true;,,FALSE,
unused_000090,gigel-si-raspandirea-vestilor,cpp,1323455796,gigel-si-raspandirea-vestilor/1323455796.cpp,unreadVariable,style,33,14,Variable 'vis' is assigned a value that is never used.,medium,int timer = 0;,bool vis = false;,"int add = 0, sub = 0;",FALSE,
unused_000091,gigel-si-raspandirea-vestilor,cpp,1323455796,gigel-si-raspandirea-vestilor/1323455796.cpp,unreadVariable,style,52,20,Variable 'vis' is assigned a value that is never used.,medium,q.push(neigh);,vis = true;,add++;,FALSE,
unused_000092,gigel-si-raspandirea-vestilor,cpp,1332268689,gigel-si-raspandirea-vestilor/1332268689.cpp,unusedVariable,style,12,12,Unused variable: j,medium,"int N, M;","int i, j;","int x, y;",FALSE,
unused_000093,gigel-si-raspandirea-vestilor,cpp,1332671446,gigel-si-raspandirea-vestilor/1332671446.cpp,unreadVariable,style,21,22,Variable 'map_2' is assigned a value that is never used.,medium,"vector<int> map(N + 1,0);","vector<int> map_2(N + 1,0);",,FALSE,
unused_000094,gigel-si-raspandirea-vestilor,cpp,1332671446,gigel-si-raspandirea-vestilor/1332671446.cpp,unreadVariable,style,30,11,Variable 'j' is assigned a value that is never used.,medium,int t = 0;,int j = 0;,,FALSE,
unused_000095,gigel-si-raspandirea-vestilor,cpp,1332904455,gigel-si-raspandirea-vestilor/1332904455.cpp,unusedFunction,style,16,6,The function 'printGraph' is never used.,high,,"void printGraph(vector<int> adj[], int V)",{,FALSE,
unused_000096,gigel-si-raspandirea-vestilor,cpp,1332904536,gigel-si-raspandirea-vestilor/1332904536.cpp,unusedFunction,style,16,6,The function 'printGraph' is never used.,high,,"void printGraph(vector<int> adj[], int V)",{,FALSE,
unused_000097,gigel-si-raspandirea-vestilor,cpp,1332904536,gigel-si-raspandirea-vestilor/1332904536.cpp,unreadVariable,style,42,35,Variable 'elevi_cunoscatori' is assigned a value that is never used.,medium,q.push(v);,"int timp = 0, elevi_cunoscatori = 1;",d[v] = 0;,FALSE,
unused_000098,gigel-si-raspandirea-vestilor,cpp,1333776306,gigel-si-raspandirea-vestilor/1333776306.cpp,unreadVariable,style,55,20,Variable 'map' is assigned a value that is never used.,medium,vector<int> adj[NMAX];,"vector<int> map(N + 1,0);","vector<int> map_2(N + 1,0);",FALSE,
unused_000099,gigel-si-raspandirea-vestilor,cpp,1333776306,gigel-si-raspandirea-vestilor/1333776306.cpp,unreadVariable,style,56,22,Variable 'map_2' is assigned a value that is never used.,medium,"vector<int> map(N + 1,0);","vector<int> map_2(N + 1,0);",,FALSE,
unused_000100,gigel-si-raspandirea-vestilor,cpp,1333777520,gigel-si-raspandirea-vestilor/1333777520.cpp,unreadVariable,style,136,20,Variable 'map' is assigned a value that is never used.,medium,vector<int> adj[NMAX];,"vector<int> map(N + 1,0);","vector<int> map_2(N + 1,0);",FALSE,
unused_000101,gigel-si-raspandirea-vestilor,cpp,1333777520,gigel-si-raspandirea-vestilor/1333777520.cpp,unreadVariable,style,137,22,Variable 'map_2' is assigned a value that is never used.,medium,"vector<int> map(N + 1,0);","vector<int> map_2(N + 1,0);",,FALSE,
unused_000102,gigel-si-raspandirea-vestilor,cpp,1333777520,gigel-si-raspandirea-vestilor/1333777520.cpp,unusedFunction,style,16,6,The function 'dijkstra' is never used.,high,,"void dijkstra(vector<int> adj[],int src,int N) {",priority_queue<int> pq;,FALSE,
unused_000103,gigel-si-raspandirea-vestilor,cpp,1333777520,gigel-si-raspandirea-vestilor/1333777520.cpp,unusedFunction,style,61,6,The function 'floyd' is never used.,high,,"void floyd(vector< vector<int>> graph,int N){","vector< vector<int>> dist(N + 1, vector<int> (N + 1));",FALSE,
unused_000104,gigel-si-raspandirea-vestilor,cpp,1333777537,gigel-si-raspandirea-vestilor/1333777537.cpp,unreadVariable,style,141,20,Variable 'map' is assigned a value that is never used.,medium,Graph *g = new Graph();,"vector<int> map(N + 1,0);","vector<int> map_2(N + 1,0);",FALSE,
unused_000105,gigel-si-raspandirea-vestilor,cpp,1333777537,gigel-si-raspandirea-vestilor/1333777537.cpp,unreadVariable,style,142,22,Variable 'map_2' is assigned a value that is never used.,medium,"vector<int> map(N + 1,0);","vector<int> map_2(N + 1,0);",,FALSE,
unused_000106,gigel-si-raspandirea-vestilor,cpp,1333777537,gigel-si-raspandirea-vestilor/1333777537.cpp,unusedFunction,style,16,6,The function 'dijkstra' is never used.,high,,"void dijkstra(vector<int> adj[],int src,int N) {",priority_queue<int> pq;,FALSE,
unused_000107,gigel-si-raspandirea-vestilor,cpp,1333777537,gigel-si-raspandirea-vestilor/1333777537.cpp,unusedFunction,style,61,6,The function 'floyd' is never used.,high,,"void floyd(vector< vector<int>> graph,int N){","vector< vector<int>> dist(N + 1, vector<int> (N + 1));",FALSE,
unused_000108,gigel-si-raspandirea-vestilor,cpp,1333804513,gigel-si-raspandirea-vestilor/1333804513.cpp,unreadVariable,style,142,31,Variable 'graph' is assigned a value that is never used.,medium,,"vector< vector<int>> graph(N + 1, vector<int> (N + 1,INF));",,FALSE,
unused_000109,gigel-si-raspandirea-vestilor,cpp,1333804513,gigel-si-raspandirea-vestilor/1333804513.cpp,unusedFunction,style,16,6,The function 'dijkstra' is never used.,high,,"void dijkstra(vector<int> adj[],int src,int N) {",priority_queue<int> pq;,FALSE,
unused_000110,gigel-si-raspandirea-vestilor,cpp,1333804513,gigel-si-raspandirea-vestilor/1333804513.cpp,unusedFunction,style,61,6,The function 'floyd' is never used.,high,,"void floyd(vector< vector<int>> graph,int N){","vector< vector<int>> dist(N + 1, vector<int> (N + 1));",FALSE,
unused_000111,gigel-si-raspandirea-vestilor,cpp,1333804612,gigel-si-raspandirea-vestilor/1333804612.cpp,unreadVariable,style,144,31,Variable 'graph' is assigned a value that is never used.,medium,,"vector< vector<int>> graph(N + 1, vector<int> (N + 1,INF));",,FALSE,
unused_000112,gigel-si-raspandirea-vestilor,cpp,1333804612,gigel-si-raspandirea-vestilor/1333804612.cpp,unusedFunction,style,16,6,The function 'dijkstra' is never used.,high,,"void dijkstra(vector<int> adj[],int src,int N) {",priority_queue<int> pq;,FALSE,
unused_000113,gigel-si-raspandirea-vestilor,cpp,1333804612,gigel-si-raspandirea-vestilor/1333804612.cpp,unusedFunction,style,61,6,The function 'floyd' is never used.,high,,"void floyd(vector< vector<int>> graph,int N){","vector< vector<int>> dist(N + 1, vector<int> (N + 1));",FALSE,
unused_000114,gigel-si-raspandirea-vestilor,cpp,1333804621,gigel-si-raspandirea-vestilor/1333804621.cpp,unusedFunction,style,16,6,The function 'dijkstra' is never used.,high,,"void dijkstra(vector<int> adj[],int src,int N) {",priority_queue<int> pq;,FALSE,
unused_000115,gigel-si-raspandirea-vestilor,cpp,1333804621,gigel-si-raspandirea-vestilor/1333804621.cpp,unusedFunction,style,61,6,The function 'floyd' is never used.,high,,"void floyd(vector< vector<int>> graph,int N){","vector< vector<int>> dist(N + 1, vector<int> (N + 1));",FALSE,
