submission_id,user_id,cluster,score,language,function,algorithm,implementation,confidence,notes,annotation_round
1391933787,,,,,Find maximum diamond value reachable within P grid moves,Ring scan,Diamond/ring perimeter scan by Manhattan radius,high,Enumerates cells on successive Manhattan-distance rings instead of scanning the whole grid. Label reconstructed from the manual source review; unavailable metadata fields were left blank rather than guessed.,2
1323401607,,,,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen. Label reconstructed from the manual source review; unavailable metadata fields were left blank rather than guessed.,2
1314235577,,,,,Find maximum diamond value reachable within P grid moves,Bounding-box scan,Rectangular bounding-box scan with reachability filtering,high,"Restricts loops to the P-sized box around (L,C), then checks or uses the valid reachable region. Label reconstructed from the manual source review; unavailable metadata fields were left blank rather than guessed.",2
1361903196,user_0227,,16.07,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen.,2
1378034785,user_0222,,16.07,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen.,2
1314234951,user_0153,,14.29,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen.,2
1314237409,,,,,Find maximum diamond value reachable within P grid moves,Ring scan,Diamond/ring perimeter scan by Manhattan radius,high,Enumerates cells on successive Manhattan-distance rings instead of scanning the whole grid. Label reconstructed from the manual source review; unavailable metadata fields were left blank rather than guessed.,2
1323401347,user_0108,,14.29,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen.,2
1332673197,user_0068,,14.29,java,Find maximum diamond value reachable within P grid moves,Bounding-box scan,Rectangular bounding-box scan with reachability filtering,high,"Restricts loops to the P-sized box around (L,C), then checks or uses the valid reachable region.",2
1344594910,,,,,Find maximum diamond value reachable within P grid moves,Bounding-box scan,Rectangular bounding-box scan with reachability filtering,high,"Restricts loops to the P-sized box around (L,C), then checks or uses the valid reachable region. Label reconstructed from the manual source review; unavailable metadata fields were left blank rather than guessed.",2
1344668157,,,,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen. Label reconstructed from the manual source review; unavailable metadata fields were left blank rather than guessed.,2
1378117387,user_0217,,14.29,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen.,2
1378148490,user_0219,,14.29,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen.,2
1378149143,user_0219,,14.29,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen.,2
1378159507,user_0218,,14.29,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen.,2
1378159510,user_0218,,14.29,cpp,Find maximum diamond value reachable within P grid moves,DFS radius,Recursive DFS/backtracking limited to P moves,high,Recursively explores four grid neighbours up to depth/radius P and tracks the maximum value seen.,2
1378078722,user_0140,,41.07,cpp,Find maximum diamond value reachable within P grid moves,DP radius,"DP over (row, column, step) reachability",high,Uses a step-indexed / 3D DP and propagates reachable states from neighbouring cells. Manually patched after inspecting the remaining high-score UNKNOWN cases.,3
1391825349,,,23.21,cpp,Find maximum diamond value reachable within P grid moves,DP radius,"DP over (row, column, step) reachability",high,Uses a step-indexed / 3D DP and propagates reachable states from neighbouring cells. Manually patched after inspecting the remaining high-score UNKNOWN cases.,3
1378078710,user_0140,,12.5,cpp,Find maximum diamond value reachable within P grid moves,DP radius,"DP over (row, column, step) reachability",high,Uses a step-indexed / 3D DP and propagates reachable states from neighbouring cells. Manually patched after inspecting the remaining high-score UNKNOWN cases.,3
